game_id	player0	rank_point0	score0	player1	rank_point1	score1	player2	rank_point2	score2
5724	takumi152	2	8020	itigokunn	-2	5900	Risen	0	7573
5725	montplusa	0	4513	besukohu	2	13161	itigokunn	-2	3760
5726	Risen	2	7221	takumi152	-2	6987	yokozuna57	0	7090
5727	Risen	-2	6104	kawasin73	0	7490	eijirou	2	8004
5728	montplusa	0	5935	besukohu	2	10458	kawasin73	-2	4798
5729	kawasin73	2	7435	besukohu	-2	6982	itigokunn	0	7105
5730	montplusa	0	5650	eijirou	-2	4494	yokozuna57	2	11159
5731	eijirou	2	9043	takumi152	0	6263	yokozuna57	-2	6120
5732	kawasin73	0	7006	Risen	-2	6531	itigokunn	2	8047
5733	Risen	-2	6616	yokozuna57	0	6620	montplusa	2	8038
5734	besukohu	2	8539	eijirou	0	6545	itigokunn	-2	6477
5735	eijirou	2	8033	besukohu	0	7322	yokozuna57	-2	6238
5736	kawasin73	-2	5327	takumi152	2	10114	montplusa	0	5914
5737	montplusa	0	5098	besukohu	2	11612	takumi152	-2	4464
5738	kawasin73	-2	6660	takumi152	0	6831	itigokunn	2	8022
5739	yokozuna57	0	7280	eijirou	2	8364	Risen	-2	5749
5740	yokozuna57	2	7785	itigokunn	0	7060	takumi152	-2	6598
5741	montplusa	-2	6141	Risen	2	8592	takumi152	0	6376
5742	Risen	-2	6960	yokozuna57	2	7512	kawasin73	0	7071
5743	eijirou	-2	6052	besukohu	2	8598	kawasin73	0	6864
5744	besukohu	2	9315	eijirou	-2	5766	montplusa	0	6338
5745	montplusa	2	7564	kawasin73	0	6897	itigokunn	-2	6873
5746	besukohu	0	6925	takumi152	-2	6372	eijirou	2	8194
5747	yokozuna57	2	8260	itigokunn	-2	6564	Risen	0	6706
5748	montplusa	2	7638	eijirou	0	6798	kawasin73	-2	6797
5749	itigokunn	0	7238	eijirou	2	7480	Risen	-2	6802
5750	itigokunn	2	8215	besukohu	-2	6201	yokozuna57	0	7049
5751	eijirou	0	6988	takumi152	-2	6761	Risen	2	7701
5752	besukohu	0	6464	yokozuna57	-2	6444	montplusa	2	8183
5753	yokozuna57	2	7223	besukohu	-2	7113	kawasin73	0	7165
5754	takumi152	2	10491	montplusa	0	5908	itigokunn	-2	4946
5755	kawasin73	2	7567	takumi152	0	7057	Risen	-2	6881
5756	montplusa	0	6945	Risen	2	8589	besukohu	-2	5469
5757	itigokunn	2	7583	kawasin73	-2	6796	eijirou	0	7164
5758	takumi152	-2	3952	eijirou	2	10116	montplusa	0	6996
5759	Risen	-2	6942	eijirou	2	7553	besukohu	0	7027
5760	takumi152	-2	6802	besukohu	0	7086	Risen	2	7582
5761	kawasin73	2	8433	yokozuna57	-2	6233	takumi152	0	6797
5762	montplusa	0	6420	yokozuna57	2	8540	itigokunn	-2	6268
5763	itigokunn	-2	6727	yokozuna57	0	6801	kawasin73	2	8103
5764	montplusa	0	7008	itigokunn	-2	6479	Risen	2	7829
5765	takumi152	2	7724	besukohu	0	7231	yokozuna57	-2	6540
5766	itigokunn	0	6521	takumi152	-2	6433	besukohu	2	8514
5767	besukohu	0	7347	kawasin73	2	7403	takumi152	-2	6652
5768	kawasin73	0	6389	eijirou	-2	6362	yokozuna57	2	8698
5769	eijirou	2	10635	Risen	-2	4334	montplusa	0	6503
5770	montplusa	2	7744	Risen	0	6823	kawasin73	-2	6817
5771	eijirou	-2	6894	yokozuna57	0	6945	itigokunn	2	7672
5772	kawasin73	2	9170	eijirou	0	6606	takumi152	-2	5678
5773	Risen	2	8197	yokozuna57	0	6912	besukohu	-2	6392
5774	Risen	-2	6508	kawasin73	0	7284	besukohu	2	7709
5775	Risen	-2	6824	itigokunn	0	7261	besukohu	2	7379
5776	yokozuna57	-2	4705	montplusa	0	4879	kawasin73	2	11557
5777	takumi152	2	7848	itigokunn	-2	6818	eijirou	0	6882
5778	yokozuna57	0	5945	montplusa	-2	5451	takumi152	2	9784
5779	montplusa	-2	6393	itigokunn	0	6656	eijirou	2	8258
