class	rank	user_id	class_point
1	1	besukohu	+7.000
1	2	Risen	+6.000
1	3	eijirou	+5.367
1	4	takumi152	+4.243
1	5	montplusa	+3.578
1	6	kawasin73	+2.828
1	7	itigokunn	+2.309
1	8	yokozuna57	+1.789
1	9	Shun_PI	+1.414
1	10	square1001	-2.683
1	11	bono	-5.367
1	12	TumoiYorozu	-7.071
2	13	fky	+5.000
2	14	E869120	+3.578
2	15	hiikunZ	+2.828
2	16	Ueddy	+2.309
2	17	gahnen	+2.309
2	18	sumoru	+1.414
2	19	gobi	+1.000
2	20	WhiteCUL	0.000
2	21	TAB	-1.155
2	22	nejineji	-1.789
2	23	kotamanegi	-2.828
2	24	pitsu	-3.464
3	25	ikoma	+13.856
3	26	krkr14	+8.485
3	27	neterukun	+8.083
3	28	poka	+8.083
3	29	kusano	+8.050
3	30	ebicochineal	+7.000
3	31	nikuroll	+2.828
3	32	daisyo	+2.309
3	33	assy	+1.414
3	34	tardigrade	0.000
3	35	a9ua1i0n	0.000
3	36	rastel	-1.000
3	37	EvbCFfp1XB	-2.828
3	38	hari64	-3.464
3	39	allegrogiken	-5.657
3	40	7iz6	-7.071
3	41	hogeta	-8.485
3	42	igeee	-9.899
4	43	maShi_oi	+8.485
4	44	Ackvy	+6.928
4	45	fgwiebfaoish	-11.314
